exposure_study,outcome_study,exposure_name,outcome_name,source,class
"genebass_ukbwes_p30780_LDL_direct.tsv","genebass_ukbwes_pCAD_custom_Coronary_artery_disease_CAD_.tsv",LDL,CHD,genebass,variant
"genebass_ukbwes_p21001_Body_mass_index_BMI.tsv","genebass_ukbwes_p130708_Date_E11_first_reported_non-insulin-dependent_diabetes_mellitus.tsv",BMI,T2D,genebass,variant
"genebass_ukbwes_p30890_Vitamin_D.tsv","genebass_ukbwes_pMS_custom_Multiple_Sclerosis_MS.tsv",VitD,MS,genebass,variant
"genebass_ukbwes_p30870_Triglycerides.tsv","genebass_ukbwes_pIschemic_stroke_custom_.tsv",Trig,Stroke,genebass,variant
"genebass_ukbwes_p30750_Glycated_haemoglobin_HbA1c.tsv","genebass_ukbwes_pAfib_custom_Atrial_fibrillation.tsv",HbA1c,AF,genebass,variant
"genebass_ukbwes_p30100_Mean_platelet_thrombocyte_volume.tsv","genebass_ukbwes_pVTE_custom_Venous_thromboembolism_VTE.tsv",PlatVol,VTE,genebass,variant
"genebass_ukbwes_p30770_IGF-1.tsv","genebass_ukbwes_pProstateCancer_custom_Prostate_cancer.tsv",IGF1,ProstateCancer,genebass,variant
"genebass_ukbwes_pWHRadjBMI_custom_Waist-to-hip_ratio_adjusted_for_body_mass_index_WHRadjBMI.tsv","genebass_ukbwes_p131286_Date_I10_first_reported_essential_primary_hypertension.tsv",WHRadjBMI,Hypertension,genebass,variant
"genebass_ukbwes_p30010_Red_blood_cell_erythrocyte_count.tsv","genebass_ukbwes_pIschemic_stroke_custom_.tsv",RBCcount,Stroke,genebass,variant
"genebass_ukbwes_p30040_Mean_corpuscular_volume.tsv","genebass_ukbwes_pIschemic_stroke_custom_.tsv",CorpVol,Stroke,genebass,variant
"genebass_ukbwes_p30100_Mean_platelet_thrombocyte_volume.tsv","genebass_ukbwes_pIschemic_stroke_custom_.tsv",PlatVol,Stroke,genebass,variant
"genebass_ukbwes_p30780_LDL_direct_genetest.tsv","genebass_ukbwes_pCAD_custom_Coronary_artery_disease_CAD__genetest.tsv",LDL,CHD,genebass,mask
"genebass_ukbwes_p21001_Body_mass_index_BMI_genetest.tsv","genebass_ukbwes_p130708_Date_E11_first_reported_non-insulin-dependent_diabetes_mellitus_genetest.tsv",BMI,T2D,genebass,mask
"genebass_ukbwes_p30890_Vitamin_D_genetest.tsv","genebass_ukbwes_pMS_custom_Multiple_Sclerosis_MS_genetest.tsv",VitD,MS,genebass,mask
"genebass_ukbwes_p30870_Triglycerides_genetest.tsv","genebass_ukbwes_pIschemic_stroke_custom__genetest.tsv",Trig,Stroke,genebass,mask
"genebass_ukbwes_p30750_Glycated_haemoglobin_HbA1c_genetest.tsv","genebass_ukbwes_pAfib_custom_Atrial_fibrillation_genetest.tsv",HbA1c,AF,genebass,mask
"genebass_ukbwes_p30100_Mean_platelet_thrombocyte_volume_genetest.tsv","genebass_ukbwes_pVTE_custom_Venous_thromboembolism_VTE_genetest.tsv",PlatVol,VTE,genebass,mask
"genebass_ukbwes_p30770_IGF-1_genetest.tsv","genebass_ukbwes_pProstateCancer_custom_Prostate_cancer_genetest.tsv",IGF1,ProstateCancer,genebass,mask
"genebass_ukbwes_pWHRadjBMI_custom_Waist-to-hip_ratio_adjusted_for_body_mass_index_WHRadjBMI_genetest.tsv","genebass_ukbwes_p131286_Date_I10_first_reported_essential_primary_hypertension_genetest.tsv",WHRadjBMI,Hypertension,genebass,mask
"genebass_ukbwes_p30010_Red_blood_cell_erythrocyte_count_genetest.tsv","genebass_ukbwes_pIschemic_stroke_custom__genetest.tsv",RBCcount,Stroke,genebass,mask
"genebass_ukbwes_p30040_Mean_corpuscular_volume_genetest.tsv","genebass_ukbwes_pIschemic_stroke_custom__genetest.tsv",CorpVol,Stroke,genebass,mask
"genebass_ukbwes_p30100_Mean_platelet_thrombocyte_volume_genetest.tsv","genebass_ukbwes_pIschemic_stroke_custom__genetest.tsv",PlatVol,Stroke,genebass,mask
